dataset_family,artifact_role,source_file_name,expected_release_path_if_authorized,bytes,sha256,public_access_status
Mannino,empirical_duration_case_pool,mannino_case_pool.csv,data/derived/frozen_calibration/Mannino/mannino_case_pool.csv,421842,8a7aba769db9fc5fc9684f00777619d2f8e868c02190ea5ef563f1a9b70f1907,not_redistributed_pending_explicit_provider_permission
Mannino,duration_calibration_summary,mannino_duration_stats.json,data/derived/frozen_calibration/Mannino/mannino_duration_stats.json,3103,150cfb83c81c5dbd6099f4ce2975fc64cbea85ea207d6ad4159d00ee6f40c406,not_redistributed_pending_explicit_provider_permission
Mannino,duration_calibration_summary,mannino_duration_summary.csv,data/derived/frozen_calibration/Mannino/mannino_duration_summary.csv,1294,0aade954ad110571db4a1a8d41aa48cb206513b508cdf2f500463b88a52a181e,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed11.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed11.csv,3337,a1fe7af3f67956ad94f9fb5b22c11d62993f3d5a55455ec6e0cce7fab7381612,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed19.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed19.csv,3324,5e331a2be29734425d402e6175f2438c17e6b4afd8ffb14bc36172c01ede5af3,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed23.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed23.csv,3323,5939da4ff8e6a6eec5365966c6894a93a431c29d277635d5fea593ec4044a038,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed29.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed29.csv,3320,6250aa1e90fdf9c4cb05ee5682b61719862fd5a1c9d418baa2e3844744c01744,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed31.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed31.csv,3314,65e7e41d0b2681b69a388aef43d5001b97911de35c579d5d781e2e8e5279005a,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed37.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed37.csv,3331,3d71244a747204ccd2abf0855e7f808aeb3191a1cdb7def286179ac1f996fc79,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed41.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n100_seed41.csv,3318,43670481ebd193b46bb6bf19cebd5b8b71cc7889ba5922711cfd072ab60d682a,not_redistributed_pending_explicit_provider_permission
