dataset,n,scenario,seed,arm,root_label,schedule_file_relative,raw_sha256,canonical_sha256,bytes,row_count,column_count,selected_exact_score,selected_iteration,guidance_mode,actual_pressure_weight,lns_seed
GermanOR,50,nominal,7,price_cal_w0,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0/nominal/case_50_seed7/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,5a2177590b18b420145236c052570bf27a8883e6936ae82f927fbdf15c6357d1,3efbaf663b5740b8f319c6b44c568ed8f8fbb88f7af8a70b913802cc448dd456,3843,49,16,,,,,
GermanOR,50,nominal,7,price_cal_w0p25,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p25/nominal/case_50_seed7/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,5a2177590b18b420145236c052570bf27a8883e6936ae82f927fbdf15c6357d1,3efbaf663b5740b8f319c6b44c568ed8f8fbb88f7af8a70b913802cc448dd456,3843,49,16,,,,,
GermanOR,50,nominal,7,price_cal_w0p5,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p5/nominal/case_50_seed7/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,5a2177590b18b420145236c052570bf27a8883e6936ae82f927fbdf15c6357d1,3efbaf663b5740b8f319c6b44c568ed8f8fbb88f7af8a70b913802cc448dd456,3843,49,16,,,,,
GermanOR,50,nominal,7,price_cal_w1,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w1/nominal/case_50_seed7/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,5a2177590b18b420145236c052570bf27a8883e6936ae82f927fbdf15c6357d1,3efbaf663b5740b8f319c6b44c568ed8f8fbb88f7af8a70b913802cc448dd456,3843,49,16,,,,,
GermanOR,50,nominal,7,price_cal_w2,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w2/nominal/case_50_seed7/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,5a2177590b18b420145236c052570bf27a8883e6936ae82f927fbdf15c6357d1,3efbaf663b5740b8f319c6b44c568ed8f8fbb88f7af8a70b913802cc448dd456,3843,49,16,,,,,
GermanOR,50,nominal,11,price_cal_w0,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0/nominal/case_50_seed11/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,825530387fee6fed05944f475a12fbd5215cdf4ea109ca4fa6d13a6ebdb639f9,69b4a6488f07d42ee659dabec3f53ef6ef1684b176a4fa29ea5550d360ffb5c9,3923,50,16,,,,,
GermanOR,50,nominal,11,price_cal_w0p25,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p25/nominal/case_50_seed11/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,825530387fee6fed05944f475a12fbd5215cdf4ea109ca4fa6d13a6ebdb639f9,69b4a6488f07d42ee659dabec3f53ef6ef1684b176a4fa29ea5550d360ffb5c9,3923,50,16,,,,,
GermanOR,50,nominal,11,price_cal_w0p5,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p5/nominal/case_50_seed11/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,825530387fee6fed05944f475a12fbd5215cdf4ea109ca4fa6d13a6ebdb639f9,69b4a6488f07d42ee659dabec3f53ef6ef1684b176a4fa29ea5550d360ffb5c9,3923,50,16,,,,,
GermanOR,50,nominal,11,price_cal_w1,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w1/nominal/case_50_seed11/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,825530387fee6fed05944f475a12fbd5215cdf4ea109ca4fa6d13a6ebdb639f9,69b4a6488f07d42ee659dabec3f53ef6ef1684b176a4fa29ea5550d360ffb5c9,3923,50,16,,,,,
GermanOR,50,nominal,11,price_cal_w2,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w2/nominal/case_50_seed11/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,825530387fee6fed05944f475a12fbd5215cdf4ea109ca4fa6d13a6ebdb639f9,69b4a6488f07d42ee659dabec3f53ef6ef1684b176a4fa29ea5550d360ffb5c9,3923,50,16,,,,,
GermanOR,50,nominal,19,price_cal_w0,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0/nominal/case_50_seed19/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,959e3c8a61dfad65fc529aece9564f892fb8edd7152c9e181d6eaefd379ea22d,156f6a37359bf53b4bd9d8280bc5aa2d100375b0bdddc0f60e6e889164aa6615,3775,48,16,,,,,
GermanOR,50,nominal,19,price_cal_w0p25,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p25/nominal/case_50_seed19/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,959e3c8a61dfad65fc529aece9564f892fb8edd7152c9e181d6eaefd379ea22d,156f6a37359bf53b4bd9d8280bc5aa2d100375b0bdddc0f60e6e889164aa6615,3775,48,16,,,,,
GermanOR,50,nominal,19,price_cal_w0p5,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p5/nominal/case_50_seed19/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,959e3c8a61dfad65fc529aece9564f892fb8edd7152c9e181d6eaefd379ea22d,156f6a37359bf53b4bd9d8280bc5aa2d100375b0bdddc0f60e6e889164aa6615,3775,48,16,,,,,
GermanOR,50,nominal,19,price_cal_w1,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w1/nominal/case_50_seed19/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,959e3c8a61dfad65fc529aece9564f892fb8edd7152c9e181d6eaefd379ea22d,156f6a37359bf53b4bd9d8280bc5aa2d100375b0bdddc0f60e6e889164aa6615,3775,48,16,,,,,
GermanOR,50,nominal,19,price_cal_w2,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w2/nominal/case_50_seed19/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,959e3c8a61dfad65fc529aece9564f892fb8edd7152c9e181d6eaefd379ea22d,156f6a37359bf53b4bd9d8280bc5aa2d100375b0bdddc0f60e6e889164aa6615,3775,48,16,,,,,
GermanOR,50,nominal,23,price_cal_w0,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0/nominal/case_50_seed23/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,168092f865498c930f63064ec6ace6d9d09c9432436175350d76e6a42c4cb894,fedf61fbc1bfcd142d7f7632fdb91983a77da3bf8c4d57dad1b8c2631ab248be,3819,49,16,,,,,
GermanOR,50,nominal,23,price_cal_w0p25,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p25/nominal/case_50_seed23/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,168092f865498c930f63064ec6ace6d9d09c9432436175350d76e6a42c4cb894,fedf61fbc1bfcd142d7f7632fdb91983a77da3bf8c4d57dad1b8c2631ab248be,3819,49,16,,,,,
GermanOR,50,nominal,23,price_cal_w0p5,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w0p5/nominal/case_50_seed23/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,168092f865498c930f63064ec6ace6d9d09c9432436175350d76e6a42c4cb894,fedf61fbc1bfcd142d7f7632fdb91983a77da3bf8c4d57dad1b8c2631ab248be,3819,49,16,,,,,
GermanOR,50,nominal,23,price_cal_w1,recourse_level1_price_cal_results_v3,GermanOR/n50/price_cal_w1/nominal/case_50_seed23/06_downstream_aggressive_spiral_pr_glns/spiral_pr_glns_schedule.csv,168092f865498c930f63064ec6ace6d9d09c9432436175350d76e6a42c4cb894,fedf61fbc1bfcd142d7f7632fdb91983a77da3bf8c4d57dad1b8c2631ab248be,3819,49,16,,,,,
