relative_log_path,gurobi_version_line,physical_cores,logical_processors,observed_thread_limit,explicit_threads_parameter
GermanOR/n100/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n100/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n100/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n100/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n100/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n150/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n150/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n150/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n150/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n150/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n50/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n50/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n50/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n50/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n50/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n70/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n70/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n70/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n70/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
GermanOR/n70/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n100/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n100/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n100/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n100/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n100/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n150/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n150/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n150/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n150/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n150/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n50/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n50/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n50/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n50/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n50/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n70/price_cal_w0/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n70/price_cal_w0p25/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n70/price_cal_w0p5/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n70/price_cal_w1/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
Mannino/n70/price_cal_w2/stdout.txt,13.0.1 build v13.0.1rc0 (win64 - Windows 11.0 (22631.2)),12,16,16,
