dataset,n,scenario,seed,gap,source_file,gap_col_used
GermanOR,50,nominal,7,-37600.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,11,-12006.04800000001,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,19,-65091.744000000006,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,23,-50500.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,29,-34724.23200000002,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,31,-1506.680000000022,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,37,-11351.383999999993,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,41,4500.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,43,-25977.831999999995,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,nominal,47,-65665.152,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,7,-36595.35999999999,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,11,-20791.583999999973,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,19,-57600.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,23,-38169.18400000001,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,29,-37464.47200000001,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,31,-17936.896000000008,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,37,-13312.199999999952,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,41,0.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,43,-28567.73599999997,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,50,transfer_bottleneck,47,-35424.38400000002,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,7,-7350.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,11,9961.983999999997,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,19,0.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,23,5756.744000000006,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,29,-12900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,70,nominal,31,900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
