dataset,n,component,seed_clusters,median_score_contribution,mean_score_contribution,q25_score_contribution,q75_score_contribution,min_score_contribution,max_score_contribution
GermanOR,50,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,50,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,50,Blocked transfers,10,20250.0,18600.0,16375.0,24750.0,0.0,33500.0
GermanOR,50,Peak transfer blocking,10,4725.0,3960.0,2700.0,5400.0,0.0,6300.0
GermanOR,50,ICU excess,10,6062.5,5125.0,3937.5,7343.75,-875.0,8875.0
GermanOR,50,Ward excess,10,625.0,1500.0,0.0,5000.0,-6250.0,7500.0
GermanOR,50,Execution violations,10,-68625.0,-58275.0,-82125.0,-37125.0,-96750.0,2250.0
GermanOR,50,OR overtime,10,-47.384,-199.2444,-598.558,153.676,-1596.788,1005.648
GermanOR,70,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,70,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,70,Blocked transfers,10,0.0,3300.0,-1125.0,2250.0,-4500.0,25500.0
GermanOR,70,Peak transfer blocking,10,450.0,855.0,0.0,787.5,-2250.0,4950.0
GermanOR,70,ICU excess,10,62.5,1062.5,0.0,2000.0,-250.0,4625.0
GermanOR,70,Ward excess,10,2500.0,1125.0,0.0,3437.5,-5000.0,5000.0
GermanOR,70,Execution violations,10,-6750.0,-9675.0,-11250.0,-2812.5,-42750.0,2250.0
GermanOR,70,OR overtime,10,0.0,375.8224,0.0,41.99399999999997,-917.7479999999996,2796.692
GermanOR,100,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,100,Volume mismatch,10,0.0,-40000.0,-75000.0,0.0,-200000.0,0.0
GermanOR,100,Blocked transfers,10,0.0,1850.0,-3125.0,4000.0,-4500.0,19000.0
GermanOR,100,Peak transfer blocking,10,450.0,1845.0,112.5,3712.5,-900.0,6300.0
GermanOR,100,ICU excess,10,375.0,437.5,31.25,1093.75,-1125.0,1625.0
GermanOR,100,Ward excess,10,0.0,1125.0,0.0,3437.5,-5000.0,6250.0
GermanOR,100,Execution violations,10,1125.0,3825.0,-1687.5,21375.0,-72000.0,42750.0
GermanOR,100,OR overtime,10,0.0,-577.3468,0.0,0.0,-3594.616,1376.272
GermanOR,150,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,150,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
GermanOR,150,Blocked transfers,10,10250.0,9350.0,2750.0,11375.0,500.0,30000.0
GermanOR,150,Peak transfer blocking,10,6075.0,6390.0,4612.5,7875.0,1350.0,11700.0
GermanOR,150,ICU excess,10,5125.0,4712.5,1968.75,6656.25,875.0,9750.0
GermanOR,150,Ward excess,10,-1875.0,-2750.0,-7500.0,937.5,-12500.0,7500.0
GermanOR,150,Execution violations,10,136125.0,115425.0,88875.0,149062.5,24750.0,164250.0
GermanOR,150,OR overtime,10,2351.264,2309.9431999999997,1715.664,3695.88,-403.17599999999993,4202.884
Mannino,50,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
Mannino,50,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
Mannino,50,Blocked transfers,10,23250.0,20500.0,10375.0,29375.0,3500.0,37500.0
Mannino,50,Peak transfer blocking,10,1800.0,2250.0,337.5,4050.0,-1800.0,6300.0
Mannino,50,ICU excess,10,7312.5,7125.0,5656.25,9000.0,2000.0,12875.0
Mannino,50,Ward excess,10,0.0,-125.0,-937.5,2187.5,-11250.0,10000.0
Mannino,50,Execution violations,10,-72000.0,-67950.0,-79875.0,-51187.5,-92250.0,-38250.0
Mannino,50,OR overtime,10,0.0,191.87199999999999,0.0,399.61,0.0,850.72
Mannino,70,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
Mannino,70,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
