dataset,n,scenario,seed,gap,gap_component__exact_high_deficit,base_exact_high_deficit,treatment_exact_high_deficit,gap_component__exact_volume_deficit,base_exact_volume_deficit,treatment_exact_volume_deficit,gap_component__exact_volume_excess,base_exact_volume_excess,treatment_exact_volume_excess,gap_component__exact_violation,base_exact_violation,treatment_exact_violation,gap_component__exact_blocked,base_exact_blocked,treatment_exact_blocked,gap_component__exact_ward_excess,base_exact_ward_excess,treatment_exact_ward_excess,gap_component__exact_peak,base_exact_peak,treatment_exact_peak,gap_component__exact_icu_excess,base_exact_icu_excess,treatment_exact_icu_excess,gap_component__exact_overtime,base_exact_overtime,treatment_exact_overtime,delta_blocked,delta_peak,delta_icu_excess,delta_viol,extra_high_missed_by_A,raw_base_components_available,raw_treatment_components_available,dominant_component,dominant_component_value,tail_class
Synthetic,100,nominal,11,56250.87999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,70.0,69.0,35000.0,158.0,123.0,2500.0,1.0,0.0,7200.0,35.0,27.0,7000.0,196.0,168.0,50.88000000000102,1199.68,1193.32,35.0,8.0,28.0,-1.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,35000.0,middle
Synthetic,100,nominal,19,22926.959999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31500.0,101.0,108.0,44000.0,157.0,113.0,0.0,0.0,0.0,9900.0,32.0,21.0,6750.0,232.0,205.0,-6223.04,0.0,777.88,44.0,11.0,27.0,7.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,44000.0,middle
Synthetic,100,nominal,23,25415.68000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,24000.0,161.0,137.0,-2500.0,12.0,13.0,3600.0,37.0,33.0,2500.0,197.0,187.0,-2184.32,72.6,345.64,24.0,4.0,10.0,0.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,24000.0,middle
Synthetic,100,nominal,29,78674.72000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,95.0,88.0,26000.0,141.0,115.0,10000.0,12.0,8.0,7200.0,39.0,31.0,4500.0,205.0,187.0,-525.28,75.38,141.04,26.0,8.0,18.0,-7.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,31500.0,middle
Synthetic,100,nominal,31,6905.520000000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18000.0,78.0,82.0,21000.0,131.0,110.0,0.0,0.0,0.0,4500.0,33.0,28.0,2250.0,199.0,190.0,-2844.48,0.0,355.56,21.0,5.0,9.0,4.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,21000.0,middle
Synthetic,100,nominal,37,15680.480000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27000.0,92.0,98.0,29000.0,153.0,124.0,2500.0,1.0,0.0,7200.0,34.0,26.0,4250.0,221.0,204.0,-269.5199999999995,880.74,914.43,29.0,8.0,17.0,6.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,29000.0,middle
Synthetic,100,nominal,41,251146.64000000013,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,193500.0,139.0,96.0,34000.0,130.0,96.0,10000.0,7.0,3.0,6300.0,27.0,20.0,7250.0,178.0,149.0,96.63999999999942,577.27,565.19,34.0,7.0,29.0,-43.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,193500.0,big_winner
Synthetic,100,nominal,43,85784.56000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,57000.0,147.0,90.0,12500.0,5.0,0.0,1800.0,30.0,28.0,13000.0,191.0,139.0,1484.5600000000004,522.82,337.25,57.0,2.0,52.0,0.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,57000.0,middle
Synthetic,100,nominal,47,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,34.0,33.0,-2000.0,107.0,109.0,0.0,0.0,0.0,-1800.0,19.0,21.0,250.0,182.0,181.0,0.0,1323.02,1323.02,-2.0,-2.0,1.0,-1.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,4500.0,middle
Synthetic,100,nominal,7,-10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22500.0,66.0,71.0,9000.0,153.0,144.0,0.0,5.0,5.0,2700.0,40.0,37.0,750.0,199.0,196.0,0.0,0.66,0.66,9.0,3.0,3.0,5.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-22500.0,middle
